,emp_title,annual_income,homeownership
190,sales,150000.0,RENT
191,finance manager,69000.0,RENT
192,crisis counselor,35000.0,MORTGAGE
193,senior mechanical assembler,39000.0,MORTGAGE
194,maintenance director,90000.0,OWN
196,supervisor,82000.0,RENT
197,microbiology labratory security,27000.0,OWN
198,telecommunications analyst,92000.0,MORTGAGE
199,medical secretary ,45000.0,MORTGAGE
200,financial service specialist,40000.0,RENT
201,consultant,170000.0,MORTGAGE
202,cook / server,30000.0,RENT
203,business analyst ,52500.0,RENT
204,cook,25000.0,RENT
205,setup operator,70000.0,RENT
207,analyst,125000.0,RENT
208,supervisor ,60000.0,MORTGAGE
209,research programmer / analyst,100000.0,RENT
210,rapid prototyping manager,205000.0,RENT
211,warehouse general,45000.0,MORTGAGE
212,pharmacy tech ,26448.0,RENT
213,aviation inspector,90000.0,MORTGAGE
214,realtor / assistant,80000.0,MORTGAGE
215,paralegal ,60000.0,MORTGAGE
216,accountant,60000.0,RENT
217,cashier,25000.0,RENT
218,owner,74000.0,RENT
219,contract specialist ,119568.0,RENT
221,chief financial officer,151000.0,MORTGAGE
222,officer of corporation,70000.0,RENT
223,kitchen designer,35000.0,OWN
224,regional manager ,84000.0,RENT
225,executive chef,200000.0,MORTGAGE
226,telecommunications tech ,25000.0,OWN
227,finisher,60000.0,RENT
228,operations manager,65000.0,RENT
229,grocery clerk,15000.0,RENT
230,mechanic,52000.0,OWN
231,services coordinator,44000.0,RENT
233,renewal specialist,48000.0,RENT
234,associate medical director,100000.0,OWN
236,junior graphic designer,33000.0,RENT
237,ceo president,196000.0,MORTGAGE
238,graphic designer,76000.0,RENT
239,accounting assistant,49000.0,RENT
240,group creative director,275000.0,MORTGAGE
241,forming operator,80000.0,MORTGAGE
242,large format printing lead,35500.0,RENT
245,technical sales rep,150000.0,OWN
246,pretreatment technician,80000.0,RENT
247,manager - projects,105000.0,RENT
248,hydrologist,72000.0,MORTGAGE
249,lieutenant,96000.0,MORTGAGE
250,autocad ,35300.0,OWN
251,office manager,73000.0,MORTGAGE
252,pharmacy technician ,50000.0,OWN
253,dockworker,70000.0,OWN
254,sales,350000.0,MORTGAGE
255,consulting database specialist,65000.0,RENT
256,house officer ,85820.0,OWN
257,vp hr,275000.0,MORTGAGE
258,teacher,90000.0,RENT
259,shade assembler,45000.0,MORTGAGE
260,finance,45000.0,MORTGAGE
261,carpenter,56000.0,RENT
262,counselor,58500.0,MORTGAGE
263,sales manager,170000.0,MORTGAGE
264,certified peer specialist,33427.94,MORTGAGE
266,medical asst,92000.0,RENT
268,production manager,49000.0,MORTGAGE
269,cook,35000.0,RENT
270,maintenance tech,35000.0,RENT
271,cleaner,50000.0,OWN
272,pmo manager,98000.0,MORTGAGE
274,manger/barber,108000.0,MORTGAGE
276,teacher,90000.0,MORTGAGE
277,auto tech,52000.0,MORTGAGE
278,electronic engineer,109000.0,MORTGAGE
279,interior concept designer,65000.0,RENT
280,machine operator,55000.0,RENT
281,dock worker,58000.0,MORTGAGE
282,assistant,84000.0,MORTGAGE
283,lead driver,85000.0,RENT
284,residential coordinator,33000.0,OWN
286,supervisor ,46800.0,RENT
287,assistant registrar-graduation,48000.0,RENT
288,assistant to internet director,67764.0,MORTGAGE
289,family skill specialist,26000.0,OWN
290,head of shopper engagement,245000.0,MORTGAGE
291,shipping & receiving,45000.0,RENT
292,rn,24000.0,RENT
293,manager,80000.0,MORTGAGE
294,managment,52000.0,MORTGAGE
295,manager,70000.0,MORTGAGE
296,director of operations,100000.0,RENT
297,branch manager ,95000.0,MORTGAGE
298,rural carrier,78000.0,MORTGAGE
299,office administrator,65000.0,RENT
300,regional director,85000.0,MORTGAGE
301,educator,138000.0,MORTGAGE
302,fixed assets manager,72900.0,MORTGAGE
303,manager,100000.0,MORTGAGE
305,rn,95000.0,MORTGAGE
306,hub employee,28000.0,RENT
307,technical solutions architecture manager,115000.0,MORTGAGE
308,dentist ,250000.0,RENT
309,social worker,80000.0,RENT
310,service representative,40000.0,RENT
311,delivery merchandiser,50000.0,RENT
312,physician ,70000.0,RENT
313,executive assistant,109000.0,RENT
314,attorney,220000.0,MORTGAGE
315,dietary aide,35000.0,RENT
316,engineer departnent,47328.0,RENT
317,nurse practitioner ,90000.0,MORTGAGE
318,cashier ,17000.0,RENT
319,principal ,240000.0,MORTGAGE
320,manager ,62000.0,MORTGAGE
321,fbc,66000.0,MORTGAGE
322,shipping clerk,39000.0,MORTGAGE
323,claims investigator,76000.0,RENT
324,executive customer service,80000.0,MORTGAGE
325,engineering supervisor,110000.0,MORTGAGE
326,administrator,89000.0,MORTGAGE
328,legal assistant,31800.0,RENT
329,registered nurse,60000.0,MORTGAGE
330,deputy sheriff,140000.0,MORTGAGE
331,project manager,100000.0,RENT
332,lead software architect,180000.0,MORTGAGE
333,sales,80000.0,MORTGAGE
334,ir technologist ,71000.0,MORTGAGE
335,engineer tech,62000.0,MORTGAGE
336,owner/operator,156000.0,MORTGAGE
337,manager,77000.0,MORTGAGE
338,sales,125000.0,RENT
339,carpenter,100000.0,RENT
340,sales manger,85000.0,MORTGAGE
341,claims examiner ii,76000.0,OWN
342,patternmaker / designer,96000.0,RENT
343,senior chemist,139500.0,MORTGAGE
344,civil engineering tech,74200.0,MORTGAGE
345,operations manager,75000.0,MORTGAGE
346,owner operator,70000.0,RENT
347,district technology support analyst,113000.0,RENT
348,sr rest engineer ,104000.0,RENT
349,owner,12000.0,MORTGAGE
350,chef,14400.0,RENT
351,receptionist,30163.0,RENT
352,manager,120000.0,MORTGAGE
353,manager,79500.0,OWN
354,office manager,35000.0,RENT
355,patient care coordinator,51200.0,RENT
356,sergeant,46000.0,RENT
357,personal asst ,110000.0,MORTGAGE
358,stylist/owner,62000.0,RENT
359,registered nurse,78000.0,MORTGAGE
360,executive assistant,33800.0,RENT
361,territory manager,105000.0,MORTGAGE
362,welder/fabricator,50960.0,OWN
363,solutions manager,87000.0,OWN
364,health technician,53000.0,RENT
366,hr analyst,75000.0,RENT
367,editor,50000.0,MORTGAGE
368,account manager,56000.0,RENT
369,loan analyst,60000.0,RENT
370,senior research project manager,78900.0,MORTGAGE
371,senior dba,118000.0,MORTGAGE
372,paralegal,85000.0,MORTGAGE
373,pr representative,40000.0,RENT
374,teacher,65000.0,OWN
376,truck driver,75999.0,MORTGAGE
377,manager ii,130000.0,MORTGAGE
378,hr data tech,45000.0,RENT
379,department mananger,45000.0,MORTGAGE
380,supervisory auditor,114000.0,MORTGAGE
381,research specialist,55000.0,RENT
382,firefighter,50000.0,RENT
383,book keeper,37000.0,OWN
384,direct support,65000.0,RENT
385,business systems analyst,120000.0,MORTGAGE
386,teacher,56000.0,RENT
387,business development associate,70000.0,RENT
388,owner,196000.0,MORTGAGE
389,owner,150000.0,OWN
390,compliance manager,73000.0,OWN
391,"inventory specialist, purchasing",66000.0,MORTGAGE
393,legal advisor,77000.0,RENT
394,disclosure specialists ,52000.0,RENT
395,sr program manager,93500.0,RENT
396,accountant ,55000.0,MORTGAGE
397,marketing,90000.0,RENT
398,beauty stylist,70000.0,MORTGAGE
399,transportation/ cdl driver,100000.0,RENT
400,security officer,85000.0,MORTGAGE
401,warranty administrator,195000.0,MORTGAGE
402,financial clerk,90000.0,RENT
404,safety monitor,35000.0,RENT
405,civil engineer,81000.0,RENT
406,roofer,30000.0,RENT
407,general manager,50000.0,MORTGAGE
408,enterprise account executive,100000.0,RENT
409,painter,70000.0,MORTGAGE
410,program support clerk,39053.0,RENT
411,community development manger,55000.0,RENT
412,installer,60000.0,MORTGAGE
413,teller,22000.0,RENT
414,laborer,44190.0,MORTGAGE
416,driver,120000.0,RENT
417,hr,67000.0,MORTGAGE
418,professor,137000.0,MORTGAGE
419,vicepresident,30000.0,MORTGAGE
421,painter,44500.0,RENT
422,office manager,42000.0,MORTGAGE
423,systems engineer,119000.0,RENT
425,survey designer,41600.0,RENT
426,medical biller,50000.0,MORTGAGE
427,teller,19719.0,RENT
428,registered professional land surveyor,74500.0,MORTGAGE
429,office manager,50000.0,RENT
430,registered nurse,75000.0,MORTGAGE
431,sheriff deputy,67000.0,MORTGAGE
432,instructor,80000.0,OWN
434,parts specialist,70000.0,MORTGAGE
435,humans resources ,35000.0,RENT
436,rehabilitation counselor ,37000.0,RENT
437,purchasing,114000.0,RENT
438,bartender,20000.0,OWN
439,teacher ,61000.0,RENT
441,insurance verification coordinator ,41600.0,RENT
442,qa analyst,57056.62,MORTGAGE
443,program coordinator ,70000.0,MORTGAGE
444,iss rep,24000.0,OWN
445,teacher ,60000.0,RENT
446,software development engineer in test,70000.0,RENT
447,program manager,57000.0,MORTGAGE
448,set designer,150000.0,RENT
449,senior teller,33000.0,RENT
450,sales,68000.0,MORTGAGE
451,superintendent ,152000.0,RENT
452,assistant principal,78000.0,RENT
453,service expert ,50000.0,RENT
454,manager,50000.0,RENT
455,user access manager,57000.0,RENT
456,technology coordinator,63000.0,MORTGAGE
457,truck driver,80000.0,MORTGAGE
458,extruder,50000.0,RENT
459,sales,114000.0,MORTGAGE
460,auto damage appraiser,76500.0,MORTGAGE
461,"sr, examiner",72000.0,RENT
462,retail sales,112000.0,RENT
463,account supporr,37400.0,MORTGAGE
464,lead teller,26000.0,RENT
466,administrator,100000.0,MORTGAGE
467,union carpenter,74500.0,MORTGAGE
468,professor,95000.0,OWN
469,administrative associate,70000.0,MORTGAGE
470,medical billing ,40000.0,MORTGAGE
471,registrar,79000.0,RENT
472,office manager ,41000.0,RENT
473,executive director,73000.0,RENT
474,deli steward,25000.0,RENT
475,software developer,86000.0,MORTGAGE
476,rx lab tecg,33000.0,RENT
478,ptl,45000.0,RENT
479,copywriter,114000.0,RENT
480,maintenance technician,48000.0,MORTGAGE
481,sales consultant ,45000.0,RENT
482,executive director ,90000.0,MORTGAGE
483,customer service manager,55000.0,RENT
484,installer,36000.0,RENT
485,district manager,120000.0,RENT
486,depart head ,42000.0,OWN
487,sr culinary manager,79500.0,MORTGAGE
488,laborer,42000.0,RENT
489,asmt,35000.0,RENT
490,president,250000.0,OWN
491,document control specialist,41000.0,MORTGAGE
492,painter ,69000.0,RENT
493,designer,69200.0,RENT
495,sales,220000.0,MORTGAGE
496,owner,68000.0,RENT
497,patient financial services,50000.0,RENT
498,master inspecter,60000.0,MORTGAGE
499,merchandise and lnventory leader,35000.0,RENT
500,owner,52000.0,MORTGAGE
501,computer repair consultant,24000.0,MORTGAGE
502,registered nurse,85000.0,MORTGAGE
503,sales representative,52000.0,RENT
504,director of financial services,175000.0,MORTGAGE
505,partner,120000.0,OWN
506,practice manager,62000.0,OWN
507,feeder,45000.0,MORTGAGE
508,manager,35000.0,OWN
509,assistant general manager,43000.0,RENT
510,clinical coordinator ,114000.0,MORTGAGE
511,vp aquisitions,388000.0,MORTGAGE
512,line lead,65000.0,MORTGAGE
513,plumber,30000.0,RENT
514,officer,90000.0,MORTGAGE
515,supervisor,55000.0,MORTGAGE
516,receptionist,3300.0,MORTGAGE
517,electrician,90000.0,MORTGAGE
518,driver,48000.0,MORTGAGE
519,customer service,50000.0,RENT
520,veterans service representative,71422.0,MORTGAGE
521,accountant,77000.0,MORTGAGE
522,sales associate ,42000.0,RENT
523,driver,80000.0,MORTGAGE
524,store manager ,45000.0,RENT
525,rn,82000.0,MORTGAGE
526,chef,85600.0,MORTGAGE
527,marketing,78000.0,RENT
528,operating engineer,90000.0,RENT
529,machinist,68000.0,MORTGAGE
530,owner,60000.0,MORTGAGE
531,supervisor,54600.0,RENT
532,service specialist,40000.0,MORTGAGE
533,office manager,24000.0,MORTGAGE
534,sales specialist,70000.0,MORTGAGE
535,full charge book keeper,50000.0,RENT
537,associate ,55000.0,RENT
538,satellite network engineer,81000.0,OWN
539,sales,20000.0,MORTGAGE
540,project coordinator,55000.0,RENT
541,registered nurse,58000.0,RENT
542,cleaner,17000.0,RENT
543,nurse,110000.0,RENT
544,prep cook,42000.0,OWN
545,transportation specialist,33975.0,MORTGAGE
547,sr programmer,118000.0,OWN
548,bus operator ,33000.0,RENT
549,meat wrapper,32248.24,MORTGAGE
550,regional account manager,87500.0,MORTGAGE
551,project manager,73000.0,RENT
552,automotive technician,95000.0,MORTGAGE
553,accounts receivable coordinator,275000.0,MORTGAGE
554,radiologic technologist,55000.0,RENT
555,teacher,52000.0,RENT
556,ceo,78000.0,MORTGAGE
557,srv analysts ,70090.0,RENT
558,program manager,65000.0,MORTGAGE
559,police officer,102000.0,MORTGAGE
561,night operations manager ,94000.0,OWN
562,reciever,24000.0,RENT
563,registered nurse,90000.0,RENT
564,senior cohort sales advisor,200000.0,RENT
565,quantitative modeller,120000.0,MORTGAGE
566,programs manager,179000.0,MORTGAGE
567,store associate,45240.0,RENT
568,fleet manager,80000.0,RENT
569,lineman,125000.0,MORTGAGE
570,mechanic,43000.0,OWN
571,tank relocation specialist ,62000.0,OWN
572,owner,200000.0,OWN
573,locomotive engineer,161105.0,OWN
574,hr director ,138000.0,RENT
575,loan officer,58000.0,MORTGAGE
577,human resources director,63000.0,MORTGAGE
578,ceo,120000.0,MORTGAGE
579,mechanic,78000.0,MORTGAGE
580,security supervisor,44000.0,RENT
581,store manager,102000.0,MORTGAGE
582,administrative assistant-requisitions,39332.8,MORTGAGE
583,business analyst,140000.0,MORTGAGE
584,patrolman,19000.0,RENT
585,account executive,60000.0,MORTGAGE
587,owner/manager,55000.0,RENT
588,supervisory passport specialist ,100000.0,RENT
589,vp global business development,170000.0,MORTGAGE
590,program coordinator,85000.0,MORTGAGE
591,store manager,71000.0,RENT
592,chief solutions officer,195000.0,MORTGAGE
594,sales,60000.0,RENT
595,housekeeper,50000.0,RENT
596,chefs ,48000.0,RENT
597,driver,39000.0,OWN
598,department manager,104000.0,MORTGAGE
599,teacher,85000.0,MORTGAGE
600,executive assistant,66913.6,RENT
601,farmer,60000.0,RENT
602,lpn ,45000.0,OWN
603,owner,140000.0,MORTGAGE
604,enterprise product manager,170000.0,RENT
605,account supervisor,53000.0,RENT
606,healthcare coordinator,52000.0,MORTGAGE
607,"vice president, sales and marketing",190000.0,MORTGAGE
608,unexploded ordnance technician 2,132000.0,RENT
609,"registered nurse,charge",99000.0,OWN
610,marketing support specialist,48222.0,RENT
611,vocational rehabilitation counselor,89000.0,RENT
612,owner operator,200000.0,OWN
614,engineer,128500.0,RENT
615,assistant librarian,60000.0,RENT
616,field biologist,53000.0,OWN
617,field supervisor,150000.0,MORTGAGE
618,selling specialist,31000.0,RENT
619,"manager, data surveys",70000.0,RENT
620,rn clinical educator,75000.0,MORTGAGE
621,partner,105000.0,RENT
622,register nurse,65000.0,RENT
623,"sports manager, ad sales marketing",88000.0,MORTGAGE
624,president,25000.0,MORTGAGE
625,operations manager,85000.0,MORTGAGE
626,marketing manager,139000.0,OWN
627,executive assistant/office manager ,113000.0,RENT
628,assistant,28000.0,RENT
629,distribution manager,90000.0,MORTGAGE
630,director international relations,86500.0,MORTGAGE
631,commercial analyst,70020.0,RENT
632,alarm technician ,210000.0,MORTGAGE
633,caregiver & geiger,86000.0,RENT
634,c&c operator,53000.0,MORTGAGE
635,credit support specialist,65000.0,RENT
636,registered nurse,80000.0,RENT
637,account executive ,90000.0,MORTGAGE
638,custodial,40000.0,MORTGAGE
639,manager,72000.0,MORTGAGE
640,corporate ehs officer,90000.0,RENT
641,payroll administration ,35000.0,MORTGAGE
642,supervisor,50000.0,MORTGAGE
643,electronic tech iv,93000.0,MORTGAGE
644,hairstylist,60000.0,MORTGAGE
645,waitress,28000.0,OWN
646,cook,27000.0,RENT
647,sales manager,300000.0,OWN
648,executive vice president,250000.0,MORTGAGE
649,rn,100000.0,MORTGAGE
650,doorman,45000.0,RENT
652,senior banker,120000.0,MORTGAGE
654,realtor,70000.0,OWN
655,senior paralegal,93000.0,OWN
656,teacher aide,50000.0,RENT
657,deputy,65000.0,MORTGAGE
658,licensed staff agent,111000.0,MORTGAGE
659,pharmaceutical sales rep,96000.0,OWN
660,paraprofessional,30000.0,MORTGAGE
661,campus safety officer,44000.0,MORTGAGE
662,teacher,55000.0,MORTGAGE
663,consultant,70000.0,RENT
664,quality team leader,95000.0,MORTGAGE
666,crane operator ,80000.0,MORTGAGE
667,data analyst,54800.0,RENT
668,operator,110000.0,RENT
669,law enforcement/traffic control ,65000.0,RENT
670,teacher,54000.0,RENT
671,senior vice president,169880.0,MORTGAGE
672,client service manager,52000.0,MORTGAGE
673,teacher ,58000.0,RENT
674,superviser,107000.0,MORTGAGE
675,captain,85000.0,MORTGAGE
676,accountant,185000.0,MORTGAGE
677,owner,125000.0,OWN
678,help desk analyst,28000.0,RENT
679,chemist,87000.0,RENT
680,executive,200000.0,MORTGAGE
681,manager,65000.0,MORTGAGE
682,dispatcher ,90000.0,MORTGAGE
683,full stack developer,55000.0,RENT
684,graduate assistant,37000.0,RENT
685,caregiver coordinator,50000.0,RENT
686,creative director,170000.0,RENT
687,electrical engineer technician ii,87000.0,MORTGAGE
688,service manager,80000.0,MORTGAGE
689,specimen processor ,26000.0,MORTGAGE
690,owner,45000.0,RENT
691,sous chef,50000.0,OWN
692,consultant,101000.0,RENT
693,propane clerk,35000.0,RENT
694,special education teacher,56000.0,MORTGAGE
695,warehouseman ,59000.0,RENT
696,tech ,64000.0,MORTGAGE
697,agency owner-president,250000.0,MORTGAGE
698,educator ,54000.0,RENT
699,stock guy,35000.0,RENT
700,service technician,45384.0,RENT
701,radiology technologisty,69000.0,OWN
702,user experience researcher,250000.0,MORTGAGE
703,crew bus driver,55000.0,MORTGAGE
704,manager,60000.0,MORTGAGE
705,receptionist,80000.0,RENT
706,financial services officer,65000.0,MORTGAGE
708,operations analyst,57500.0,RENT
709,billing rep,30000.0,MORTGAGE
710,architect,108000.0,MORTGAGE
711,driver,50000.0,RENT
712,branch manager,61800.0,RENT
713,medical doctor,260000.0,MORTGAGE
714,data architect,250000.0,RENT
715,office manager,83740.0,RENT
717,vice president of operations,118000.0,MORTGAGE
718,airman ,72000.0,RENT
719,parts ,50000.0,OWN
720,mammography supervisor ,80000.0,OWN
721,problem manager ,80000.0,RENT
722,tfs tech,125381.0,MORTGAGE
723,pastor,65000.0,MORTGAGE
724,aasp,75000.0,MORTGAGE
725,account manager,60000.0,MORTGAGE
726,bookkeeper ,1020000.0,MORTGAGE
727,senior auditor,106000.0,OWN
728,lead clerk,70000.0,MORTGAGE
729,sales,55000.0,MORTGAGE
730,account manager,100000.0,RENT
731,driver,42000.0,MORTGAGE
732,mortgage banker,60000.0,RENT
733,machine operator,72000.0,RENT
734,site manager,85000.0,RENT
735,divisional secretary (coo),98000.0,RENT
736,teacher,68000.0,RENT
737,correctional officer,120000.0,MORTGAGE
738,lpn,36000.0,MORTGAGE
739,production manager,62000.0,MORTGAGE
740,owner/partner,62500.0,RENT
741,marketing coordinator,60000.0,OWN
742, admin,40000.0,MORTGAGE
743,sales consultant,90000.0,RENT
744,executive director,64721.0,OWN
745,business manager,80000.0,RENT
746,cashier,18000.0,OWN
747,chief cyber operations,107200.0,MORTGAGE
748,rn,65000.0,MORTGAGE
749,mechanical sustaining engineer,72000.0,RENT
751,manager,134676.0,MORTGAGE
752,otr driver,52000.0,MORTGAGE
753,director,130000.0,MORTGAGE
754,manager,66000.0,RENT
755,owner,120000.0,MORTGAGE
757,warehouse supervisor,80000.0,MORTGAGE
758,sales manager,90000.0,RENT
759,operations manager,95000.0,RENT
760,case managet loan,55000.0,RENT
761,sales,100000.0,MORTGAGE
762,owner / operator,64000.0,OWN
763,mechanical designer,71500.0,RENT
764,counselor,42000.0,RENT
765,senior technical support engineer,69000.0,MORTGAGE
766,senior web developer,81000.0,MORTGAGE
767,maintenance supervisor,90000.0,MORTGAGE
768,reservation sales representative,80000.0,MORTGAGE
769,regional asset manager,65000.0,MORTGAGE
771,electrical engineer,92000.0,MORTGAGE
772,sr account executive ,82000.0,MORTGAGE
773,interior designer ,60000.0,RENT
774,ceo,40000.0,MORTGAGE
775,teacher/coach,60000.0,MORTGAGE
776,asst mngr,40000.0,RENT
777,superintendent,75000.0,MORTGAGE
778,owner,350000.0,RENT
779,probation officer,71000.0,RENT
780,cna,28000.0,RENT
781,truck driver,68000.0,MORTGAGE
782,mortgage lending administrator,72000.0,MORTGAGE
783,nanny,50000.0,MORTGAGE
784,communications officer,65000.0,OWN
785,principal consultant,305000.0,RENT
786,manufacturing,36000.0,MORTGAGE
787,production tech,56000.0,MORTGAGE
788,rn,120000.0,MORTGAGE
789,manager ,130000.0,MORTGAGE
790,truck driver,72000.0,MORTGAGE
791,dental asst,65000.0,MORTGAGE
792,continuous improvement,110000.0,MORTGAGE
793,custidian,40000.0,RENT
794,nurse,50840.0,RENT
795,architect,115000.0,RENT
796,network architect,105000.0,MORTGAGE
797,driver,64000.0,RENT
798,cigarette selector 2,30000.0,MORTGAGE
799,cpc medical coder,52400.0,MORTGAGE
800,mechanic ,96000.0,RENT
801,overnight flight coordinator,50000.0,RENT
802,nutrition nurse navigator,120000.0,OWN
804,fork lift mechanic ,55000.0,RENT
805,technician,52000.0,MORTGAGE
807,ltl truck driver,75000.0,OWN
809,supply chain supervisor,65000.0,RENT
810,presidnet,245000.0,MORTGAGE
811,material handler,21432.0,OWN
812,account manager ,63000.0,OWN
813,senior writer,73400.0,OWN
814,sales representative,50000.0,RENT
